EmployeeNumber,Attrition,cluster,cluster_reclassificado,confianca,persona
773,No,1,1,alta,"Risco de attrition, Início de carreira"
775,No,1,1,alta,"Risco de attrition, Início de carreira"
776,No,0,0,alta,Estáveis e engajados
780,Yes,1,1,alta,"Risco de attrition, Início de carreira"
781,No,0,0,alta,Estáveis e engajados
783,No,0,0,alta,Estáveis e engajados
784,No,1,1,alta,"Risco de attrition, Início de carreira"
785,Yes,1,1,alta,"Risco de attrition, Início de carreira"
786,No,0,0,alta,Estáveis e engajados
787,Yes,0,0,alta,Estáveis e engajados
789,No,0,0,alta,Estáveis e engajados
791,No,0,0,media,Estáveis e engajados
792,No,1,1,alta,"Risco de attrition, Início de carreira"
793,No,1,1,baixa,"Risco de attrition, Início de carreira"
796,Yes,0,0,alta,Estáveis e engajados
797,No,1,1,alta,"Risco de attrition, Início de carreira"
799,No,1,1,alta,"Risco de attrition, Início de carreira"
800,No,0,0,alta,Estáveis e engajados
802,No,1,1,alta,"Risco de attrition, Início de carreira"
803,No,1,1,alta,"Risco de attrition, Início de carreira"
804,No,1,1,alta,"Risco de attrition, Início de carreira"
805,No,1,1,media,"Risco de attrition, Início de carreira"
806,No,0,0,media,Estáveis e engajados
807,No,0,0,media,Estáveis e engajados
808,No,0,0,alta,Estáveis e engajados
809,No,0,0,alta,Estáveis e engajados
811,Yes,1,1,alta,"Risco de attrition, Início de carreira"
812,No,1,1,alta,"Risco de attrition, Início de carreira"
813,No,1,1,baixa,"Risco de attrition, Início de carreira"
815,No,0,0,alta,Estáveis e engajados
816,Yes,1,1,alta,"Risco de attrition, Início de carreira"
817,No,0,0,alta,Estáveis e engajados
819,Yes,1,1,alta,"Risco de attrition, Início de carreira"
820,No,0,0,baixa,Estáveis e engajados
823,No,0,0,alta,Estáveis e engajados
824,No,0,0,media,Estáveis e engajados
825,Yes,0,0,alta,Estáveis e engajados
826,No,1,1,alta,"Risco de attrition, Início de carreira"
827,No,1,1,baixa,"Risco de attrition, Início de carreira"
828,Yes,1,1,alta,"Risco de attrition, Início de carreira"
829,No,0,0,alta,Estáveis e engajados
830,No,0,0,alta,Estáveis e engajados
832,No,1,1,alta,"Risco de attrition, Início de carreira"
833,No,1,1,alta,"Risco de attrition, Início de carreira"
834,No,1,1,alta,"Risco de attrition, Início de carreira"
836,No,0,0,alta,Estáveis e engajados
837,No,1,1,baixa,"Risco de attrition, Início de carreira"
838,No,1,1,alta,"Risco de attrition, Início de carreira"
840,Yes,0,0,alta,Estáveis e engajados
842,Yes,0,0,alta,Estáveis e engajados
843,No,1,1,media,"Risco de attrition, Início de carreira"
844,No,0,0,alta,Estáveis e engajados
845,No,0,0,media,Estáveis e engajados
846,No,0,0,alta,Estáveis e engajados
847,No,0,0,media,Estáveis e engajados
848,Yes,1,1,alta,"Risco de attrition, Início de carreira"
850,No,1,1,alta,"Risco de attrition, Início de carreira"
851,No,0,0,alta,Estáveis e engajados
852,No,1,1,alta,"Risco de attrition, Início de carreira"
854,No,1,1,alta,"Risco de attrition, Início de carreira"
855,No,0,0,alta,Estáveis e engajados
856,No,1,1,alta,"Risco de attrition, Início de carreira"
857,No,0,0,alta,Estáveis e engajados
859,No,0,0,alta,Estáveis e engajados
861,No,1,1,alta,"Risco de attrition, Início de carreira"
862,No,0,0,alta,Estáveis e engajados
864,No,0,0,alta,Estáveis e engajados
865,No,1,1,alta,"Risco de attrition, Início de carreira"
867,No,1,1,alta,"Risco de attrition, Início de carreira"
868,No,0,0,alta,Estáveis e engajados
869,No,0,0,media,Estáveis e engajados
872,No,0,0,alta,Estáveis e engajados
874,No,1,1,alta,"Risco de attrition, Início de carreira"
875,No,1,1,alta,"Risco de attrition, Início de carreira"
878,No,1,1,baixa,"Risco de attrition, Início de carreira"
879,No,0,0,alta,Estáveis e engajados
880,No,0,0,alta,Estáveis e engajados
881,Yes,1,1,alta,"Risco de attrition, Início de carreira"
882,No,1,1,alta,"Risco de attrition, Início de carreira"
885,No,0,0,alta,Estáveis e engajados
887,No,1,1,alta,"Risco de attrition, Início de carreira"
888,No,1,1,baixa,"Risco de attrition, Início de carreira"
889,No,0,0,alta,Estáveis e engajados
893,No,0,0,alta,Estáveis e engajados
894,No,0,0,baixa,Estáveis e engajados
895,No,0,0,baixa,Estáveis e engajados
896,Yes,1,1,alta,"Risco de attrition, Início de carreira"
897,No,0,0,alta,Estáveis e engajados
899,No,0,0,alta,Estáveis e engajados
900,No,0,0,alta,Estáveis e engajados
901,No,1,1,alta,"Risco de attrition, Início de carreira"
902,No,0,0,baixa,Estáveis e engajados
903,No,0,0,alta,Estáveis e engajados
904,No,0,0,alta,Estáveis e engajados
905,No,0,0,alta,Estáveis e engajados
909,No,0,0,alta,Estáveis e engajados
910,No,0,0,alta,Estáveis e engajados
911,Yes,1,1,alta,"Risco de attrition, Início de carreira"
912,No,1,1,alta,"Risco de attrition, Início de carreira"
913,No,1,1,alta,"Risco de attrition, Início de carreira"
916,No,0,0,alta,Estáveis e engajados
918,Yes,1,1,alta,"Risco de attrition, Início de carreira"
920,No,1,1,alta,"Risco de attrition, Início de carreira"
922,Yes,1,1,alta,"Risco de attrition, Início de carreira"
923,Yes,1,1,alta,"Risco de attrition, Início de carreira"
924,No,0,0,alta,Estáveis e engajados
925,No,1,1,alta,"Risco de attrition, Início de carreira"
926,Yes,1,1,alta,"Risco de attrition, Início de carreira"
927,Yes,1,1,alta,"Risco de attrition, Início de carreira"
930,No,1,1,alta,"Risco de attrition, Início de carreira"
932,Yes,1,1,alta,"Risco de attrition, Início de carreira"
933,No,1,1,alta,"Risco de attrition, Início de carreira"
934,No,1,1,alta,"Risco de attrition, Início de carreira"
936,No,0,0,baixa,Estáveis e engajados
939,No,1,1,alta,"Risco de attrition, Início de carreira"
940,No,1,1,alta,"Risco de attrition, Início de carreira"
941,No,0,0,alta,Estáveis e engajados
942,No,0,0,baixa,Estáveis e engajados
944,No,0,0,baixa,Estáveis e engajados
945,No,1,1,media,"Risco de attrition, Início de carreira"
947,No,0,0,alta,Estáveis e engajados
949,No,1,1,alta,"Risco de attrition, Início de carreira"
950,No,0,0,alta,Estáveis e engajados
951,No,1,1,alta,"Risco de attrition, Início de carreira"
952,Yes,0,0,alta,Estáveis e engajados
954,No,0,0,alta,Estáveis e engajados
956,No,0,0,alta,Estáveis e engajados
957,No,1,1,media,"Risco de attrition, Início de carreira"
958,No,1,1,alta,"Risco de attrition, Início de carreira"
959,Yes,1,1,media,"Risco de attrition, Início de carreira"
960,Yes,1,1,alta,"Risco de attrition, Início de carreira"
961,No,0,0,alta,Estáveis e engajados
964,No,1,1,alta,"Risco de attrition, Início de carreira"
966,No,0,0,baixa,Estáveis e engajados
967,Yes,0,0,alta,Estáveis e engajados
969,No,1,1,alta,"Risco de attrition, Início de carreira"
970,Yes,0,0,alta,Estáveis e engajados
972,No,0,0,alta,Estáveis e engajados
974,No,0,0,media,Estáveis e engajados
975,No,0,0,alta,Estáveis e engajados
976,No,0,0,alta,Estáveis e engajados
977,Yes,1,1,alta,"Risco de attrition, Início de carreira"
981,No,0,0,alta,Estáveis e engajados
982,No,0,0,alta,Estáveis e engajados
983,No,1,1,baixa,"Risco de attrition, Início de carreira"
984,No,0,0,alta,Estáveis e engajados
985,No,0,0,alta,Estáveis e engajados
986,Yes,1,1,alta,"Risco de attrition, Início de carreira"
987,No,0,0,alta,Estáveis e engajados
990,No,0,0,alta,Estáveis e engajados
991,Yes,1,1,alta,"Risco de attrition, Início de carreira"
992,No,0,0,alta,Estáveis e engajados
994,Yes,1,1,alta,"Risco de attrition, Início de carreira"
995,No,1,1,alta,"Risco de attrition, Início de carreira"
996,No,1,1,alta,"Risco de attrition, Início de carreira"
997,No,0,0,media,Estáveis e engajados
998,No,0,0,baixa,Estáveis e engajados
999,No,0,0,alta,Estáveis e engajados
1001,No,1,1,alta,"Risco de attrition, Início de carreira"
1002,No,0,0,alta,Estáveis e engajados
1003,No,1,1,media,"Risco de attrition, Início de carreira"
1004,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1005,No,0,0,alta,Estáveis e engajados
1006,No,1,1,media,"Risco de attrition, Início de carreira"
1007,No,0,0,alta,Estáveis e engajados
1009,No,1,1,media,"Risco de attrition, Início de carreira"
1010,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1011,No,1,1,alta,"Risco de attrition, Início de carreira"
1012,No,1,1,alta,"Risco de attrition, Início de carreira"
1013,No,0,0,alta,Estáveis e engajados
1014,No,1,1,baixa,"Risco de attrition, Início de carreira"
1015,No,1,1,media,"Risco de attrition, Início de carreira"
1016,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1017,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1018,No,0,0,alta,Estáveis e engajados
1019,No,1,1,baixa,"Risco de attrition, Início de carreira"
1022,No,1,1,alta,"Risco de attrition, Início de carreira"
1024,No,0,0,alta,Estáveis e engajados
1025,No,1,1,alta,"Risco de attrition, Início de carreira"
1026,No,0,0,alta,Estáveis e engajados
1027,No,1,1,alta,"Risco de attrition, Início de carreira"
1028,No,1,1,alta,"Risco de attrition, Início de carreira"
1029,No,0,0,alta,Estáveis e engajados
1030,No,1,1,alta,"Risco de attrition, Início de carreira"
1032,No,1,1,alta,"Risco de attrition, Início de carreira"
1033,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1034,No,0,0,alta,Estáveis e engajados
1035,No,0,0,baixa,Estáveis e engajados
1036,No,0,0,media,Estáveis e engajados
1037,Yes,0,0,media,Estáveis e engajados
1038,Yes,0,0,alta,Estáveis e engajados
1039,No,0,0,alta,Estáveis e engajados
1040,No,0,0,alta,Estáveis e engajados
1042,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1043,No,1,1,alta,"Risco de attrition, Início de carreira"
1044,No,1,1,alta,"Risco de attrition, Início de carreira"
1045,No,0,0,alta,Estáveis e engajados
1046,No,1,1,alta,"Risco de attrition, Início de carreira"
1047,No,0,0,alta,Estáveis e engajados
1048,No,0,0,alta,Estáveis e engajados
1049,No,1,1,alta,"Risco de attrition, Início de carreira"
1050,No,0,0,alta,Estáveis e engajados
1052,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1053,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1055,No,1,1,alta,"Risco de attrition, Início de carreira"
1056,No,0,0,alta,Estáveis e engajados
1060,No,0,0,media,Estáveis e engajados
1061,No,0,0,alta,Estáveis e engajados
1062,No,1,1,alta,"Risco de attrition, Início de carreira"
1066,No,0,0,alta,Estáveis e engajados
1068,No,1,1,alta,"Risco de attrition, Início de carreira"
1069,No,0,0,media,Estáveis e engajados
1070,No,0,0,alta,Estáveis e engajados
1071,No,1,1,alta,"Risco de attrition, Início de carreira"
1073,No,1,1,alta,"Risco de attrition, Início de carreira"
1074,No,0,0,alta,Estáveis e engajados
1076,No,0,0,alta,Estáveis e engajados
1077,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1079,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1080,No,1,1,alta,"Risco de attrition, Início de carreira"
1081,Yes,1,1,baixa,"Risco de attrition, Início de carreira"
1082,Yes,1,1,media,"Risco de attrition, Início de carreira"
1083,No,0,0,alta,Estáveis e engajados
1084,No,0,0,alta,Estáveis e engajados
1085,No,1,1,alta,"Risco de attrition, Início de carreira"
1088,No,0,0,alta,Estáveis e engajados
1092,No,0,0,alta,Estáveis e engajados
1094,No,1,1,alta,"Risco de attrition, Início de carreira"
1096,No,0,0,alta,Estáveis e engajados
1097,No,1,1,alta,"Risco de attrition, Início de carreira"
1098,Yes,0,0,alta,Estáveis e engajados
1099,No,0,0,baixa,Estáveis e engajados
1100,Yes,0,0,alta,Estáveis e engajados
1101,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1102,No,1,1,alta,"Risco de attrition, Início de carreira"
1103,No,1,1,alta,"Risco de attrition, Início de carreira"
1105,No,0,0,media,Estáveis e engajados
1106,Yes,0,0,alta,Estáveis e engajados
1107,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1108,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1109,No,0,0,alta,Estáveis e engajados
1111,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1113,Yes,0,0,alta,Estáveis e engajados
1114,No,0,0,alta,Estáveis e engajados
1115,No,1,1,alta,"Risco de attrition, Início de carreira"
1116,No,1,1,alta,"Risco de attrition, Início de carreira"
1117,No,0,0,alta,Estáveis e engajados
1118,No,1,1,alta,"Risco de attrition, Início de carreira"
1119,No,0,0,alta,Estáveis e engajados
1120,No,1,1,alta,"Risco de attrition, Início de carreira"
1121,No,0,0,baixa,Estáveis e engajados
1124,No,0,0,alta,Estáveis e engajados
1125,No,0,0,alta,Estáveis e engajados
1126,No,1,1,alta,"Risco de attrition, Início de carreira"
1127,Yes,0,0,alta,Estáveis e engajados
1128,No,0,0,alta,Estáveis e engajados
1131,No,1,1,alta,"Risco de attrition, Início de carreira"
1132,No,1,1,alta,"Risco de attrition, Início de carreira"
1133,No,1,1,alta,"Risco de attrition, Início de carreira"
1135,No,0,0,alta,Estáveis e engajados
1136,No,1,1,alta,"Risco de attrition, Início de carreira"
1137,No,0,0,alta,Estáveis e engajados
1138,No,0,0,alta,Estáveis e engajados
1140,No,1,1,alta,"Risco de attrition, Início de carreira"
1143,No,1,1,alta,"Risco de attrition, Início de carreira"
1148,No,1,1,alta,"Risco de attrition, Início de carreira"
1150,No,0,0,alta,Estáveis e engajados
1152,No,0,0,alta,Estáveis e engajados
1154,No,1,1,alta,"Risco de attrition, Início de carreira"
1156,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1157,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1158,No,0,0,baixa,Estáveis e engajados
1160,Yes,0,0,baixa,Estáveis e engajados
1161,No,1,1,alta,"Risco de attrition, Início de carreira"
1162,No,1,1,alta,"Risco de attrition, Início de carreira"
1163,No,0,0,alta,Estáveis e engajados
1164,No,1,1,alta,"Risco de attrition, Início de carreira"
1165,Yes,0,0,alta,Estáveis e engajados
1166,No,1,1,alta,"Risco de attrition, Início de carreira"
1167,Yes,0,0,alta,Estáveis e engajados
1171,No,0,0,alta,Estáveis e engajados
1172,No,0,0,alta,Estáveis e engajados
1173,No,1,1,alta,"Risco de attrition, Início de carreira"
1175,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1177,No,0,0,alta,Estáveis e engajados
1179,No,0,0,alta,Estáveis e engajados
1180,No,1,1,alta,"Risco de attrition, Início de carreira"
1182,No,0,0,alta,Estáveis e engajados
1184,No,0,0,baixa,Estáveis e engajados
1185,No,0,0,alta,Estáveis e engajados
1188,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1190,No,1,1,alta,"Risco de attrition, Início de carreira"
1191,No,1,1,alta,"Risco de attrition, Início de carreira"
1192,No,0,0,media,Estáveis e engajados
1193,No,1,1,alta,"Risco de attrition, Início de carreira"
1195,No,1,1,alta,"Risco de attrition, Início de carreira"
1196,No,0,0,alta,Estáveis e engajados
1198,No,1,1,alta,"Risco de attrition, Início de carreira"
1200,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1201,No,0,0,alta,Estáveis e engajados
1202,No,1,1,alta,"Risco de attrition, Início de carreira"
1203,Yes,1,1,baixa,"Risco de attrition, Início de carreira"
1204,No,0,0,alta,Estáveis e engajados
1206,No,1,1,alta,"Risco de attrition, Início de carreira"
1207,No,0,0,media,Estáveis e engajados
1210,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1211,No,0,0,alta,Estáveis e engajados
1212,No,0,0,alta,Estáveis e engajados
1215,No,1,1,media,"Risco de attrition, Início de carreira"
1216,No,0,0,alta,Estáveis e engajados
1217,No,0,0,alta,Estáveis e engajados
1218,No,0,0,alta,Estáveis e engajados
1219,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1220,No,0,0,alta,Estáveis e engajados
1221,No,0,0,alta,Estáveis e engajados
1224,No,0,0,alta,Estáveis e engajados
1225,No,0,0,baixa,Estáveis e engajados
1226,No,1,1,alta,"Risco de attrition, Início de carreira"
1228,No,0,0,alta,Estáveis e engajados
1231,No,0,0,alta,Estáveis e engajados
1233,No,0,0,alta,Estáveis e engajados
1234,No,1,1,alta,"Risco de attrition, Início de carreira"
1235,No,1,1,alta,"Risco de attrition, Início de carreira"
1237,No,1,1,media,"Risco de attrition, Início de carreira"
1238,No,0,0,alta,Estáveis e engajados
1239,No,0,0,media,Estáveis e engajados
1240,No,0,0,alta,Estáveis e engajados
1241,No,0,0,alta,Estáveis e engajados
1242,No,1,1,alta,"Risco de attrition, Início de carreira"
1243,No,0,0,alta,Estáveis e engajados
1244,No,0,0,alta,Estáveis e engajados
1245,No,1,1,baixa,"Risco de attrition, Início de carreira"
1246,No,1,1,alta,"Risco de attrition, Início de carreira"
1248,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1249,No,1,1,alta,"Risco de attrition, Início de carreira"
1250,No,0,0,alta,Estáveis e engajados
1251,No,0,0,baixa,Estáveis e engajados
1252,No,1,1,alta,"Risco de attrition, Início de carreira"
1254,No,1,1,media,"Risco de attrition, Início de carreira"
1255,No,0,0,alta,Estáveis e engajados
1256,No,1,1,media,"Risco de attrition, Início de carreira"
1257,No,1,1,baixa,"Risco de attrition, Início de carreira"
1258,No,1,1,alta,"Risco de attrition, Início de carreira"
1259,No,1,1,alta,"Risco de attrition, Início de carreira"
1260,No,0,0,baixa,Estáveis e engajados
1263,No,1,1,alta,"Risco de attrition, Início de carreira"
1264,No,1,1,media,"Risco de attrition, Início de carreira"
1265,No,1,1,alta,"Risco de attrition, Início de carreira"
1267,No,0,0,alta,Estáveis e engajados
1268,No,0,0,alta,Estáveis e engajados
1269,No,1,1,alta,"Risco de attrition, Início de carreira"
1270,No,1,1,alta,"Risco de attrition, Início de carreira"
1273,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1275,No,1,1,alta,"Risco de attrition, Início de carreira"
1277,Yes,1,1,media,"Risco de attrition, Início de carreira"
1278,No,0,0,alta,Estáveis e engajados
1279,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1280,No,0,0,alta,Estáveis e engajados
1281,No,1,1,alta,"Risco de attrition, Início de carreira"
1282,No,0,0,alta,Estáveis e engajados
1283,No,0,0,media,Estáveis e engajados
1285,No,1,1,baixa,"Risco de attrition, Início de carreira"
1286,No,1,1,alta,"Risco de attrition, Início de carreira"
1288,No,0,0,alta,Estáveis e engajados
1289,No,0,0,alta,Estáveis e engajados
1291,No,1,1,alta,"Risco de attrition, Início de carreira"
1292,No,1,1,alta,"Risco de attrition, Início de carreira"
1293,No,0,0,alta,Estáveis e engajados
1294,No,1,1,alta,"Risco de attrition, Início de carreira"
1295,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1296,No,0,0,alta,Estáveis e engajados
1297,No,1,1,alta,"Risco de attrition, Início de carreira"
1298,No,1,1,alta,"Risco de attrition, Início de carreira"
1299,Yes,1,1,media,"Risco de attrition, Início de carreira"
1301,No,1,1,alta,"Risco de attrition, Início de carreira"
1303,No,1,1,alta,"Risco de attrition, Início de carreira"
1304,No,0,0,alta,Estáveis e engajados
1306,No,1,1,alta,"Risco de attrition, Início de carreira"
1307,No,1,1,alta,"Risco de attrition, Início de carreira"
1308,No,1,1,alta,"Risco de attrition, Início de carreira"
1309,Yes,0,0,alta,Estáveis e engajados
1310,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1311,No,0,0,alta,Estáveis e engajados
1312,No,0,0,baixa,Estáveis e engajados
1314,No,1,1,media,"Risco de attrition, Início de carreira"
1315,No,0,0,alta,Estáveis e engajados
1317,No,1,1,media,"Risco de attrition, Início de carreira"
1318,Yes,0,0,alta,Estáveis e engajados
1319,Yes,0,0,alta,Estáveis e engajados
1321,No,1,1,alta,"Risco de attrition, Início de carreira"
1322,No,1,1,baixa,"Risco de attrition, Início de carreira"
1324,No,0,0,alta,Estáveis e engajados
1329,No,0,0,alta,Estáveis e engajados
1331,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1333,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1334,No,0,0,alta,Estáveis e engajados
1336,No,0,0,alta,Estáveis e engajados
1338,No,0,0,alta,Estáveis e engajados
1340,No,1,1,alta,"Risco de attrition, Início de carreira"
1344,No,0,0,alta,Estáveis e engajados
1346,No,1,1,media,"Risco de attrition, Início de carreira"
1349,No,0,0,alta,Estáveis e engajados
1350,No,1,1,alta,"Risco de attrition, Início de carreira"
1352,No,0,0,alta,Estáveis e engajados
1355,No,0,0,alta,Estáveis e engajados
1356,No,0,0,alta,Estáveis e engajados
1358,No,0,0,alta,Estáveis e engajados
1360,Yes,0,0,baixa,Estáveis e engajados
1361,No,1,1,alta,"Risco de attrition, Início de carreira"
1362,No,0,0,alta,Estáveis e engajados
1363,No,1,1,baixa,"Risco de attrition, Início de carreira"
1364,No,0,0,media,Estáveis e engajados
1367,No,1,1,alta,"Risco de attrition, Início de carreira"
1368,No,1,1,alta,"Risco de attrition, Início de carreira"
1369,No,0,0,media,Estáveis e engajados
1371,No,0,0,alta,Estáveis e engajados
1372,Yes,0,0,alta,Estáveis e engajados
1373,No,0,0,alta,Estáveis e engajados
1374,No,1,1,alta,"Risco de attrition, Início de carreira"
1375,No,1,1,baixa,"Risco de attrition, Início de carreira"
1377,No,0,0,alta,Estáveis e engajados
1379,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1380,Yes,0,0,alta,Estáveis e engajados
1382,No,1,1,alta,"Risco de attrition, Início de carreira"
1383,No,1,1,alta,"Risco de attrition, Início de carreira"
1387,No,0,0,alta,Estáveis e engajados
1389,Yes,0,0,alta,Estáveis e engajados
1390,No,0,0,alta,Estáveis e engajados
1391,No,0,0,alta,Estáveis e engajados
1392,No,1,1,alta,"Risco de attrition, Início de carreira"
1394,No,1,1,media,"Risco de attrition, Início de carreira"
1395,No,0,0,alta,Estáveis e engajados
1396,No,0,0,alta,Estáveis e engajados
1397,No,0,0,alta,Estáveis e engajados
1399,No,0,0,alta,Estáveis e engajados
1401,No,1,1,baixa,"Risco de attrition, Início de carreira"
1402,No,1,1,alta,"Risco de attrition, Início de carreira"
1403,No,0,0,alta,Estáveis e engajados
1405,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1407,No,1,1,alta,"Risco de attrition, Início de carreira"
1408,No,0,0,alta,Estáveis e engajados
1409,No,1,1,alta,"Risco de attrition, Início de carreira"
1411,No,1,1,alta,"Risco de attrition, Início de carreira"
1412,No,1,1,alta,"Risco de attrition, Início de carreira"
1415,No,0,0,baixa,Estáveis e engajados
1417,No,1,1,alta,"Risco de attrition, Início de carreira"
1419,No,0,0,alta,Estáveis e engajados
1420,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1421,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1422,No,1,1,alta,"Risco de attrition, Início de carreira"
1423,No,0,0,media,Estáveis e engajados
1424,No,0,0,baixa,Estáveis e engajados
1425,No,1,1,alta,"Risco de attrition, Início de carreira"
1427,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1428,No,0,0,alta,Estáveis e engajados
1430,No,1,1,alta,"Risco de attrition, Início de carreira"
1431,No,1,1,alta,"Risco de attrition, Início de carreira"
1433,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1434,No,1,1,baixa,"Risco de attrition, Início de carreira"
1435,No,1,1,alta,"Risco de attrition, Início de carreira"
1436,No,0,0,alta,Estáveis e engajados
1438,No,1,1,alta,"Risco de attrition, Início de carreira"
1439,Yes,0,0,alta,Estáveis e engajados
1440,No,1,1,alta,"Risco de attrition, Início de carreira"
1441,No,1,1,alta,"Risco de attrition, Início de carreira"
1443,No,0,0,baixa,Estáveis e engajados
1445,No,0,0,alta,Estáveis e engajados
1446,No,0,0,alta,Estáveis e engajados
1447,No,1,1,alta,"Risco de attrition, Início de carreira"
1448,No,1,1,alta,"Risco de attrition, Início de carreira"
1449,No,0,0,alta,Estáveis e engajados
1453,No,0,0,alta,Estáveis e engajados
1457,Yes,0,0,alta,Estáveis e engajados
1458,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1459,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1460,No,0,0,alta,Estáveis e engajados
1461,No,1,1,alta,"Risco de attrition, Início de carreira"
1464,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1465,No,0,0,alta,Estáveis e engajados
1466,No,0,0,alta,Estáveis e engajados
1467,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1468,No,0,0,alta,Estáveis e engajados
1469,No,0,0,alta,Estáveis e engajados
1471,No,1,1,alta,"Risco de attrition, Início de carreira"
1472,No,0,0,alta,Estáveis e engajados
1473,No,0,0,alta,Estáveis e engajados
1474,No,1,1,alta,"Risco de attrition, Início de carreira"
1475,No,1,1,alta,"Risco de attrition, Início de carreira"
1477,No,0,0,alta,Estáveis e engajados
1478,No,0,0,alta,Estáveis e engajados
1479,No,0,0,alta,Estáveis e engajados
1480,No,1,1,alta,"Risco de attrition, Início de carreira"
1481,No,0,0,alta,Estáveis e engajados
1482,No,1,1,alta,"Risco de attrition, Início de carreira"
1483,No,0,0,alta,Estáveis e engajados
1484,No,0,0,alta,Estáveis e engajados
1485,No,0,0,alta,Estáveis e engajados
1486,Yes,0,0,alta,Estáveis e engajados
1487,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1489,Yes,0,0,alta,Estáveis e engajados
1492,No,0,0,alta,Estáveis e engajados
1494,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1495,No,1,1,alta,"Risco de attrition, Início de carreira"
1496,No,1,1,alta,"Risco de attrition, Início de carreira"
1497,No,0,0,alta,Estáveis e engajados
1499,No,0,0,alta,Estáveis e engajados
1501,No,0,0,alta,Estáveis e engajados
1502,No,1,1,alta,"Risco de attrition, Início de carreira"
1503,No,0,0,alta,Estáveis e engajados
1504,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1506,No,1,1,alta,"Risco de attrition, Início de carreira"
1507,No,0,0,alta,Estáveis e engajados
1509,No,1,1,baixa,"Risco de attrition, Início de carreira"
1513,No,1,1,alta,"Risco de attrition, Início de carreira"
1514,No,0,0,alta,Estáveis e engajados
1515,No,1,1,alta,"Risco de attrition, Início de carreira"
1516,No,1,1,alta,"Risco de attrition, Início de carreira"
1520,No,1,1,alta,"Risco de attrition, Início de carreira"
1522,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1523,No,0,0,alta,Estáveis e engajados
1525,No,1,1,alta,"Risco de attrition, Início de carreira"
1527,No,0,0,alta,Estáveis e engajados
1529,No,1,1,alta,"Risco de attrition, Início de carreira"
1533,No,1,1,alta,"Risco de attrition, Início de carreira"
1534,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1535,No,0,0,alta,Estáveis e engajados
1537,Yes,1,1,alta,"Risco de attrition, Início de carreira"
1539,No,1,1,baixa,"Risco de attrition, Início de carreira"
1541,No,0,0,alta,Estáveis e engajados
1542,No,0,0,alta,Estáveis e engajados
1543,No,0,0,alta,Estáveis e engajados
1544,No,0,0,media,Estáveis e engajados
1545,No,1,1,alta,"Risco de attrition, Início de carreira"
1546,No,1,1,alta,"Risco de attrition, Início de carreira"
1547,No,0,0,alta,Estáveis e engajados
1548,No,0,0,alta,Estáveis e engajados
1549,No,0,0,alta,Estáveis e engajados
1550,No,0,0,alta,Estáveis e engajados
1551,No,1,1,alta,"Risco de attrition, Início de carreira"
1552,No,1,1,alta,"Risco de attrition, Início de carreira"
1553,No,0,0,alta,Estáveis e engajados
1554,No,0,0,alta,Estáveis e engajados
1555,No,1,1,alta,"Risco de attrition, Início de carreira"
1556,No,1,1,media,"Risco de attrition, Início de carreira"
1557,No,0,0,alta,Estáveis e engajados
